last_name,first_name,gender,age,current_position,state,announced
Booker,Cory,M,49,Senator,New Jersey,TRUE
Buttigieg,Pete,M,37,Mayor,Indiana,TRUE
Castro,Julian,M,44,Secretary,Texas,TRUE
Delaney,John,M,55,Representative,New Jersey,TRUE
Gabbard,Tulsi,F,37,Representative,Hawaii,TRUE
Gillibrand,Kirsten,F,52,Senator,New York,TRUE
Harris,Kama,F,54,Senator,California,TRUE
Hickenlooper,John,M,67,Governor,Colorado,TRUE
Inslee,Jay,M,68,Governor,Washington,TRUE
Klobuchar,Amy,F,58,Senator,Minnesota,TRUE
Sanders,Bernie,M,77,Senator,New York,TRUE
Warren,Elizabeth,F,69,Senator,Massachusetts,TRUE
Williamson,Marianne,F,66,Activist,California,TRUE
Yang,Andrew,M,44,Entrepreneur,New York,TRUE
